[2026-02-27 12:06:47,456] INFO - zomato_ml_logger - Loading Model.....
[2026-02-27 12:06:48,821] INFO - zomato_ml_logger - Model Loaded Successfully....
[2026-02-27 12:06:48,821] INFO - zomato_ml_logger - Creating DataFrame from input
[2026-02-27 12:06:48,833] INFO - zomato_ml_logger - Prediction is in progress..
[2026-02-27 12:06:48,840] INFO - zomato_ml_logger - Prediction Successful: 29.3779296875
[2026-02-27 14:24:44,586] INFO - zomato_ml_logger - Training of Dataset has started....
[2026-02-27 14:24:44,804] INFO - zomato_ml_logger - Splitting of Training Dataset has started....
[2026-02-27 14:32:10,717] INFO - zomato_ml_logger - Training of Dataset has started....
[2026-02-27 14:32:10,904] INFO - zomato_ml_logger - Splitting of Training Dataset has started....
[2026-02-27 14:32:54,613] INFO - zomato_ml_logger - Training Pipeline Completed....
[2026-02-27 14:32:54,613] INFO - zomato_ml_logger - Model Pkl File Exporting ....
[2026-02-27 14:32:54,626] INFO - zomato_ml_logger - Model Pkl File Exported Successfully!
[2026-02-27 14:33:36,708] INFO - zomato_ml_logger - Training of Dataset has started....
[2026-02-27 14:33:36,881] INFO - zomato_ml_logger - Splitting of Training Dataset has started....
[2026-02-27 14:34:18,300] INFO - zomato_ml_logger - Training Pipeline Completed....
[2026-02-27 14:34:18,301] INFO - zomato_ml_logger - Model Pkl File Exporting ....
[2026-02-27 14:34:18,314] INFO - zomato_ml_logger - Model Pkl File Exported Successfully!
[2026-02-27 14:35:59,618] INFO - zomato_ml_logger - Loading Model.....
[2026-02-27 14:36:01,513] INFO - zomato_ml_logger - Model Loaded Successfully....
[2026-02-27 14:36:01,513] INFO - zomato_ml_logger - Creating DataFrame from input
[2026-02-27 14:36:01,519] INFO - zomato_ml_logger - Prediction is in progress..
[2026-02-27 14:36:01,528] INFO - zomato_ml_logger - Prediction Successful: 29.354283196279088
[2026-02-27 15:03:55,434] INFO - zomato_ml_logger - Training of Dataset has started....
[2026-02-27 15:03:55,616] INFO - zomato_ml_logger - Splitting of Training Dataset has started....
[2026-02-27 15:04:38,724] INFO - zomato_ml_logger - Training Pipeline Completed....
[2026-02-27 15:04:38,724] INFO - zomato_ml_logger - Model Pkl File Exporting ....
[2026-02-27 15:04:38,737] INFO - zomato_ml_logger - Model Pkl File Exported Successfully!
[2026-02-27 16:08:04,316] INFO - zomato_ml_logger - Training of Dataset has started....
[2026-02-27 16:08:04,562] INFO - zomato_ml_logger - Splitting of Training Dataset has started....
[2026-02-27 16:08:15,060] INFO - zomato_ml_logger - Linear Regression Model Started....
